x,y
0.000000000000000000e+00,-6.821085867066045694e-01
1.000000000000000000e+00,-6.990870519155538698e-01
2.000000000000000000e+00,-7.146793707288547903e-01
3.000000000000000000e+00,-7.266912625345569587e-01
4.000000000000000000e+00,-7.324379085992732685e-01
5.000000000000000000e+00,-7.288840434058035944e-01
6.000000000000000000e+00,-7.128645936832641583e-01
7.000000000000000000e+00,-6.813744719607754963e-01
8.000000000000000000e+00,-6.319046645734638368e-01
9.000000000000000000e+00,-5.627916473064276115e-01
1.000000000000000000e+01,-4.735398620729734942e-01
1.100000000000000000e+01,-3.650739464581773674e-01
1.200000000000000000e+01,-2.398798123238888858e-01
1.300000000000000000e+01,-1.020120965673777386e-01
1.400000000000000000e+01,-7.004020857584190851e-02
1.500000000000000000e+01,-1.422855476525963780e-02
1.600000000000000000e+01,6.376708737298883434e-02
1.700000000000000000e+01,1.604098590886531561e-01
1.800000000000000000e+01,2.704504591236529532e-01
1.900000000000000000e+01,3.872698187884259236e-01
2.000000000000000000e+01,5.033750729158944504e-01
2.100000000000000000e+01,6.109978573036306537e-01
2.200000000000000000e+01,7.027206515903623441e-01
2.300000000000000000e+01,6.652191991404097227e-01
2.400000000000000000e+01,6.046396524245518656e-01
2.500000000000000000e+01,5.270453189118683435e-01
2.600000000000000000e+01,4.394046036553666545e-01
2.700000000000000000e+01,3.489750754519067577e-01
2.800000000000000000e+01,2.626794123543885195e-01
2.900000000000000000e+01,1.865487211826833691e-01
3.000000000000000000e+01,1.252876465461172095e-01
3.100000000000000000e+01,8.199847435714309463e-02
3.200000000000000000e+01,5.808067739108051242e-02
3.300000000000000000e+01,5.329096905923295241e-02
3.400000000000000000e+01,-7.686792150358141840e-02
3.500000000000000000e+01,-1.968629176718236784e-01
3.600000000000000000e+01,-3.034984579370945679e-01
3.700000000000000000e+01,-3.948079932294669692e-01
3.800000000000000000e+01,-4.700056998943465958e-01
3.900000000000000000e+01,-5.293553291502547387e-01
4.000000000000000000e+01,-5.739649074005155338e-01
4.100000000000000000e+01,-6.055293390564631117e-01
4.200000000000000000e+01,-6.260447224188554483e-01
4.300000000000000000e+01,-6.375189723296954547e-01
4.400000000000000000e+01,-6.417035899561090995e-01
4.500000000000000000e+01,-6.398709667899230569e-01
4.600000000000000000e+01,-6.326594901077854383e-01
4.700000000000000000e+01,-6.200036271627574758e-01
4.800000000000000000e+01,-6.011575518626998127e-01
4.900000000000000000e+01,-5.748098421019101067e-01
5.000000000000000000e+01,-5.392758178870190600e-01
5.100000000000000000e+01,-4.927456896724165536e-01
5.200000000000000000e+01,-4.335619323172985595e-01
5.300000000000000000e+01,-3.604977181413178133e-01
5.400000000000000000e+01,-2.730087191974722716e-01
5.500000000000000000e+01,-1.714323925850772257e-01
5.600000000000000000e+01,-5.711200745338271267e-02
5.700000000000000000e+01,6.757237348797898169e-02
5.800000000000000000e+01,1.992665619799618149e-01
5.900000000000000000e+01,2.127467864298422107e-01
6.000000000000000000e+01,2.457285459609507838e-01
6.100000000000000000e+01,2.991795961359475786e-01
6.200000000000000000e+01,3.725899762794262493e-01
6.300000000000000000e+01,4.638665871436430943e-01
6.400000000000000000e+01,5.693611610221942509e-01
6.500000000000000000e+01,6.840468952290961191e-01
6.600000000000000000e+01,8.018313120543842931e-01
6.700000000000000000e+01,9.159766221172715994e-01
6.800000000000000000e+01,1.019576291433416770e+00
6.900000000000000000e+01,1.009966385677471878e+00
7.000000000000000000e+01,9.897990846207824767e-01
7.100000000000000000e+01,9.628882102437348323e-01
7.200000000000000000e+01,9.327295396600350230e-01
7.300000000000000000e+01,9.021235087065345715e-01
7.400000000000000000e+01,8.728871652730072483e-01
7.500000000000000000e+01,8.456982519137521415e-01
7.600000000000000000e+01,8.200854283786633836e-01
7.700000000000000000e+01,7.945484264995457124e-01
7.800000000000000000e+01,6.424139027769188992e-01
7.900000000000000000e+01,4.786098227466744071e-01
8.000000000000000000e+01,3.086563669864433868e-01
8.100000000000000000e+01,1.379265870500571700e-01
8.200000000000000000e+01,-2.852212010541826936e-02
8.300000000000000000e+01,-1.860630511022413336e-01
8.400000000000000000e+01,-3.305642248782935111e-01
8.500000000000000000e+01,-4.584214943281876842e-01
8.600000000000000000e+01,-5.665831649365818956e-01
8.700000000000000000e+01,-6.525849768655742622e-01
8.800000000000000000e+01,-7.146056664009765580e-01
8.900000000000000000e+01,-7.515418259494155429e-01
9.000000000000000000e+01,-7.630894803183316810e-01
9.100000000000000000e+01,-7.498117134716990595e-01
9.200000000000000000e+01,-7.131689371399301258e-01
9.300000000000000000e+01,-6.555016592967128908e-01
9.400000000000000000e+01,-7.407916252696286064e-01
9.500000000000000000e+01,-8.087488289465403213e-01
9.600000000000000000e+01,-8.585923931318898417e-01
9.700000000000000000e+01,-8.905391768624777438e-01
9.800000000000000000e+01,-9.057294895298171333e-01
9.900000000000000000e+01,-9.060860652425237749e-01
